current_time,weather,temp,humidity
2025-08-11 06:45:22,Clouds,28.76,74
2025-08-11 07:02:54,Clouds,28.76,74
2025-08-11 07:34:18,Clouds,29.76,66
2025-08-11 07:50:59,Clouds,29.76,66
2025-08-11 08:22:47,Clouds,29.76,66
2025-08-11 08:52:16,Clouds,29.76,66
2025-08-11 09:24:21,Clouds,27.76,74
2025-08-11 09:48:41,Clouds,27.76,74
2025-08-11 10:11:23,Clouds,27.13,72
2025-08-11 10:43:22,Clouds,27.76,78
2025-08-11 10:57:40,Clouds,27.76,78
2025-08-11 11:26:08,Clouds,26.76,83
2025-08-11 11:43:58,Clouds,26.76,83
2025-08-11 11:56:28,Clouds,26.76,83
2025-08-11 13:00:20,Clear,24.76,88
2025-08-11 13:47:29,Clear,24.76,88
2025-08-11 14:10:37,Clear,23.41,88
2025-08-11 14:42:26,Clear,24.76,88
2025-08-11 14:58:00,Clear,24.76,88
2025-08-11 15:31:52,Clear,23.76,100
2025-08-11 15:50:37,Clear,23.76,100
2025-08-11 16:18:28,Clear,22.76,100
2025-08-11 16:48:07,Clouds,22.76,100
2025-08-11 17:10:50,Clouds,22.76,100
2025-08-11 17:38:24,Mist,22.76,100
2025-08-11 17:53:14,Mist,22.76,100
2025-08-11 18:31:33,Mist,22.76,100
2025-08-11 18:57:35,Mist,22.76,100
2025-08-11 19:24:36,Clear,20.76,100
2025-08-11 19:40:51,Mist,20.76,100
2025-08-11 19:53:29,Mist,20.76,100
2025-08-11 20:21:17,Clear,20.76,100
2025-08-11 20:40:50,Mist,20.76,100
2025-08-11 20:54:00,Mist,20.76,100
2025-08-11 21:19:28,Clear,20.76,100
2025-08-11 21:36:06,Mist,20.76,100
2025-08-11 21:48:39,Mist,20.76,100
2025-08-11 22:09:11,Clear,22.9,96
2025-08-11 22:35:12,Mist,23.76,100
2025-08-11 22:50:20,Mist,23.76,100
2025-08-11 23:12:44,Mist,26.76,78
2025-08-11 23:32:23,Mist,26.76,78
2025-08-11 23:45:59,Mist,26.76,78
2025-08-11 23:58:18,Mist,26.76,78
2025-08-12 02:14:30,Clear,29.76,54
2025-08-12 03:33:09,Clear,31.76,48
2025-08-12 04:03:26,Clear,31.76,48
2025-08-12 04:39:06,Clouds,32.76,43
2025-08-12 04:57:14,Clouds,32.76,43
2025-08-12 05:28:20,Clouds,32.76,46
2025-08-12 05:46:28,Clouds,32.76,46
2025-08-12 05:58:55,Clouds,32.76,46
2025-08-12 06:42:44,Clouds,33.76,43
2025-08-12 07:00:12,Clouds,33.76,43
2025-08-12 07:29:52,Clear,34.76,34
2025-08-12 07:45:16,Clear,34.76,34
2025-08-12 07:57:43,Clear,34.76,34
2025-08-12 08:36:54,Clear,33.76,40
2025-08-12 08:57:25,Clear,33.76,40
2025-08-12 09:31:15,Clear,31.76,45
2025-08-12 09:48:22,Clear,31.76,45
2025-08-12 10:10:17,Clear,31.76,45
2025-08-12 10:41:05,Clear,30.76,55
2025-08-12 10:55:12,Clear,30.76,55
2025-08-12 11:21:50,Clouds,28.79,61
2025-08-12 11:38:22,Clear,28.76,61
2025-08-12 11:50:55,Clear,28.76,61
2025-08-12 12:30:23,Clear,27.76,65
2025-08-12 13:19:02,Clouds,26.72,72
2025-08-12 13:49:07,Clear,26.76,74
